OBJECTID,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Housing,Occupied,Vacant,Shape__Area,Shape__Length
1,Beechfield,4013,462,3191,3,108,0,105,144,164,1721,1592,129,11223169.201355,16370.4479571775
2,Belair-Parkside,449,91,302,2,12,0,4,38,17,174,152,22,954640.827819824,6808.02967556738
3,Curtis Bay Industrial Area,20,6,8,0,0,0,6,0,4,1,1,0,11673274.631897,26350.5732420197
4,Eastwood,764,314,81,4,7,0,301,57,377,286,272,14,779622.075927734,4182.51263003287
5,Forest Park Golf Course,358,14,305,5,2,0,27,5,13,135,123,12,2871664.96160889,7965.54924831852
6,Harwood,1639,503,916,5,35,1,60,119,153,732,651,81,1978012.99127197,5912.90761429978
7,Hawkins Point,24,7,0,0,0,0,8,9,10,5,5,0,54763685.5466309,55791.7230767522
8,Highlandtown,2915,1674,262,82,73,0,510,314,851,1441,1228,213,3961744.7434082,8604.5907363589
9,Hoes Heights,930,648,138,2,86,0,12,44,32,504,467,37,2159542.1171875,6669.81264763143
10,Bayview,2944,998,322,32,118,0,1197,277,1546,1148,1029,119,2654455.1852417,7486.51021564119
11,Keswick,713,560,67,0,45,0,11,30,22,380,347,33,2233451.65136719,8843.25675675767
12,Lucille Park,431,49,356,0,0,0,7,19,18,175,135,40,2920636.70806885,9492.29020824982
13,Millhill,1404,297,906,7,31,1,76,86,107,713,572,141,5879577.07897949,11605.0553714413
14,Moravia-Walther,978,295,588,5,12,0,18,60,45,431,380,51,3652104.38470459,8867.31054976157
15,Morgan Park,245,29,202,0,1,0,4,9,5,123,121,2,2026709.31170654,5825.26079246669
16,Mount Holly,1304,43,1178,2,0,0,44,37,40,651,514,137,3455557.44104004,9466.8627424073
17,Mt Pleasant Park,0,0,0,0,0,0,0,0,0,0,0,0,7056941.33428955,14645.8517894201
18,O'Donnell Heights,972,60,757,19,9,1,72,54,119,354,312,42,4442684.61212158,9998.76111023405
19,Oaklee,669,249,322,0,23,0,19,56,54,391,351,40,1134217.46258545,5680.3257471735
20,Orangeville Industrial Area,33,4,9,0,1,0,10,9,15,3,1,2,12412587.0551147,16423.6497096664
21,Otterbein,2677,1834,419,2,198,0,34,190,126,2014,1814,200,2860751.76477051,7212.22232686432
22,Parkside,2406,152,2111,3,43,1,24,72,59,1157,1034,123,3276041.16497803,8592.51467620862
23,Auchentoroly-Parkwood,1597,65,1453,4,4,0,14,57,29,1006,689,317,2748381.67962646,7357.46262421935
24,Penn-Fallsway,2594,331,2179,8,10,0,52,14,74,12,10,2,3747891.38452148,8958.15719108059
25,Pimlico Good Neighbors,858,35,762,1,4,0,31,25,42,433,367,66,8243231.45391846,11943.492005762
26,Pleasant View Gardens,671,2,648,0,1,0,1,19,4,339,338,1,1260420.97473145,4854.81903695795
27,Purnell,596,15,566,0,1,0,3,11,11,291,260,31,1108359.83294678,6136.3468021912
28,Rosemont,2411,38,2245,5,4,0,15,104,36,1161,880,281,4889088.26196289,9008.27163900879
29,Rosemont East,1959,591,1221,6,11,2,57,71,52,865,813,52,7026395.25067139,11960.0048537381
30,Rosemont Homeowners/Tenants,1273,20,1189,4,6,0,15,39,29,567,440,127,1756742.78747559,7028.14551948585
31,Sabina-Mattfeldt,187,181,2,0,1,0,0,3,0,91,85,6,3297295.94696045,10310.1446757664
32,Saint Agnes,574,185,325,0,8,0,20,36,24,270,265,5,2826380.3190918,8665.56054385059
33,Saint Helena,617,331,112,9,9,0,61,95,152,248,202,46,1582392.38818359,6295.65504577544
34,Saint Josephs,1594,29,1477,2,9,0,32,45,48,814,627,187,3894970.95227051,9239.74377400622
